id,text_JP,text
palmia_barrack,パルミア王立士官宿舎,Palmian Royal Officers' Quarters
tax,納税はこちら,Pay your tax here
palmia_safety,パルミア公安局,Palmia Public Safety Commission
wow,ワァーオー,Wow
dagger_note,真夜中から宵まで、奴は見張っているぞ,"From midnight till dusk, he watches."
sister,↓妹　↑他の女,↓Younger sister  ↑Other woman
odina,慈愛の女神オディナの犠牲を讃えて,"In honor of the sacrifices of Odina, the Goddess of Compassion"
casino_closed,かたつむりの反乱により現在休園中,The park is temporarily closed due to snail rebellion.
vernis,開拓者募集中,Pioneers Wanted
farm_chest,たくさん入れてね,Put'em here.
hotspring_meditation,温泉で「休憩」すれば、心も体もほっこり,"Take a ""Rest"" at the hot spring to warm you from the inside out!"
pond_carp,鯉の池,"The Carp Pond "
